Area,Item,Unit,Year,production_tonnes,pesticides_tonnes,average_rain_fall_mm_per_year,avg_temp,hg/ha_yield
0,0,t,1990,80000.0,121.0,1485.0,16.37,66667.0
0,1,t,1990,25000.0,121.0,1485.0,16.37,12500.0
0,3,t,1990,613000.0,121.0,1485.0,16.37,30197.0
1,0,t,1990,808541.0,1828.92,89.0,17.48,78936.0
1,1,t,1990,464.0,1828.92,89.0,17.48,16571.0
1,3,t,1990,750080.0,1828.92,89.0,17.48,6315.0
2,0,t,1990,34000.0,64.0,1010.0,24.12,40000.0
2,2,t,1990,164899.0,64.0,1010.0,24.12,89342.0
2,3,t,1990,2500.0,64.0,1010.0,24.12,7995.0
3,0,t,1990,1598170.0,26156.0,591.0,17.46,202747.0
3,0,t,1990,1598170.0,26156.0,591.0,17.46,202747.0
3,0,t,1990,1598170.0,26156.0,591.0,17.67,202747.0
3,0,t,1990,1598170.0,26156.0,591.0,17.67,202747.0
3,1,t,1990,2050000.0,26156.0,591.0,17.46,28116.0
3,1,t,1990,2050000.0,26156.0,591.0,17.46,28116.0
3,1,t,1990,2050000.0,26156.0,591.0,17.67,28116.0
3,1,t,1990,2050000.0,26156.0,591.0,17.67,28116.0
3,2,t,1990,290100.0,26156.0,591.0,17.46,131864.0
3,2,t,1990,290100.0,26156.0,591.0,17.46,131864.0
3,2,t,1990,290100.0,26156.0,591.0,17.67,131864.0
3,2,t,1990,290100.0,26156.0,591.0,17.67,131864.0
3,3,t,1990,10055700.0,26156.0,591.0,17.46,18947.0
3,3,t,1990,10055700.0,26156.0,591.0,17.46,18947.0
3,3,t,1990,10055700.0,26156.0,591.0,17.67,18947.0
3,3,t,1990,10055700.0,26156.0,591.0,17.67,18947.0
5,0,t,1990,1177877.0,17866.0,534.0,16.8,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,16.8,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,16.8,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,16.8,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,16.8,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,16.8,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,20.06,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,20.06,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,20.06,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,20.06,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,20.06,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,20.06,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,12.11,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,12.11,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,12.11,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,12.11,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,12.11,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,12.11,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,14.16,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,14.16,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,14.16,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,14.16,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,14.16,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,14.16,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,18.05,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,18.05,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,18.05,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,18.05,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,18.05,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,18.05,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,17.47,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,17.47,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,17.47,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,17.47,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,17.47,289832.0
5,0,t,1990,1177877.0,17866.0,534.0,17.47,289832.0
5,1,t,1990,945653.0,17866.0,534.0,16.8,24883.0
5,1,t,1990,945653.0,17866.0,534.0,16.8,24883.0
5,1,t,1990,945653.0,17866.0,534.0,16.8,24883.0
5,1,t,1990,945653.0,17866.0,534.0,16.8,24883.0
5,1,t,1990,945653.0,17866.0,534.0,16.8,24883.0
5,1,t,1990,945653.0,17866.0,534.0,16.8,24883.0
5,1,t,1990,945653.0,17866.0,534.0,20.06,24883.0
5,1,t,1990,945653.0,17866.0,534.0,20.06,24883.0
5,1,t,1990,945653.0,17866.0,534.0,20.06,24883.0
5,1,t,1990,945653.0,17866.0,534.0,20.06,24883.0
5,1,t,1990,945653.0,17866.0,534.0,20.06,24883.0
5,1,t,1990,945653.0,17866.0,534.0,20.06,24883.0
5,1,t,1990,945653.0,17866.0,534.0,12.11,24883.0
5,1,t,1990,945653.0,17866.0,534.0,12.11,24883.0
5,1,t,1990,945653.0,17866.0,534.0,12.11,24883.0
5,1,t,1990,945653.0,17866.0,534.0,12.11,24883.0
5,1,t,1990,945653.0,17866.0,534.0,12.11,24883.0
5,1,t,1990,945653.0,17866.0,534.0,12.11,24883.0
5,1,t,1990,945653.0,17866.0,534.0,14.16,24883.0
5,1,t,1990,945653.0,17866.0,534.0,14.16,24883.0
5,1,t,1990,945653.0,17866.0,534.0,14.16,24883.0
5,1,t,1990,945653.0,17866.0,534.0,14.16,24883.0
5,1,t,1990,945653.0,17866.0,534.0,14.16,24883.0
5,1,t,1990,945653.0,17866.0,534.0,14.16,24883.0
5,1,t,1990,945653.0,17866.0,534.0,18.05,24883.0
5,1,t,1990,945653.0,17866.0,534.0,18.05,24883.0
5,1,t,1990,945653.0,17866.0,534.0,18.05,24883.0
5,1,t,1990,945653.0,17866.0,534.0,18.05,24883.0
5,1,t,1990,945653.0,17866.0,534.0,18.05,24883.0
5,1,t,1990,945653.0,17866.0,534.0,18.05,24883.0
